student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,i_will_enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,my_team_will_bond_personally_as_well_as_professionally,we_will_collaborate_together_on_the_same_tasks,work_on_separate_tasks_and_link_them_together_later_on,develop_my_professional_skills_as_a_result_of_the_team_project,develop_my_team_working_skills_and_collaboration,we_will_adjust_the_project_regularly_as_we_go_along,we_will_stick_to_our_original_project_plan,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,because_i_think_that_this_module_is_interesting,because_i_am_doing_it_for_my_own_good,because_i_am_supposed_to_do_it,personally_i_don’t_see_any_good_reasons_in_the_module,because_i_think_that_this_module_is_pleasant,because_i_think_that_this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,because_i_don’t_have_any_choice,i_don’t_see_what_this_module_brings_me,feel_good_about_this_module,because_i_feel_that_i_have_to_do_it,it_is_a_good_thing_to_pursue_it,not_sure_it_is_a_good_thing_to_pursue_it
158,78,1995,1,,15.0,5.0,10,2.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,7.0,2.0,3.0,4.0,7.0,5.0,4.0,1.0,7.0,1.0,6.0,6.0,2.0,1.0,5.0,7.0,4.0,2.0,7.0,7.0,1.0,1.0,6.0,7.0,7.0,1.0
159,30,1991,2,,24.0,2.0,19,2.0,5.0,5.0,,,5.0,5.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
160,185,2001,1,,14.0,0.0,,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,6.0,7.0,6.0,4.0,7.0,5.0,6.0,4.0,6.0,4.0,6.0,4.0,4.0,1.0,5.0,6.0,4.0,1.0,5.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0
161,53,2000,1,,17.0,0.0,"3,19",4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,7.0,4.0,7.0,4.0,4.0,2.0,6.0,1.0,6.0,5.0,7.0,6.0,4.0,5.0,7.0,3.0,4.0,2.0,6.0,3.0,4.0,6.0,6.0,5.0
162,118,1995,1,,17.0,5.0,10,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,7.0,3.0,7.0,6.0,7.0,2.0,6.0,1.0,7.0,7.0,4.0,1.0,6.0,7.0,,1.0,6.0,7.0,1.0,1.0,7.0,7.0,6.0,1.0
163,185,1991,1,,21.0,10.0,"10,16,19",3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,6.0,1.0,5.0,2.0,7.0,4.0,5.0,1.0,6.0,3.0,5.0,6.0,5.0,2.0,5.0,6.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0
164,164,1994,1,,17.0,6.0,10,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,4.0,7.0,1.0,7.0,4.0,7.0,1.0,7.0,2.0,7.0,5.0,1.0,1.0,7.0,7.0,1.0,3.0,7.0,5.0,1.0,1.0,7.0,7.0,1.0,3.0
165,179,1984,1,,24.0,9.0,"8,10",2.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,6.0,5.0,6.0,4.0,7.0,1.0,6.0,5.0,7.0,7.0,3.0,1.0,7.0,7.0,3.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,1.0,1.0
166,104,1998,2,,24.0,2.5,11,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,7.0,4.0,4.0,4.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0
167,130,1995,1,,15.0,3.0,10,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,6.0,6.0,,1.0,6.0,3.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,2.0,2.0,6.0,6.0,2.0,2.0,6.0,6.0,2.0,1.0
168,185,2001,2,,24.0,3.0,"9,14",3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,
169,168,1977,1,,19.0,20.0,"9,10,13,14,18,19",4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,6.0,5.0,6.0,7.0,6.0,4.0,5.0,4.0,4.0,4.0,7.0,5.0,4.0,5.0,7.0,3.0,4.0,4.0,7.0,4.0,5.0,5.0,7.0,3.0
170,130,1987,1,,17.0,10.0,"10,11,12,16",3.0,2.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,6.0,5.0,3.0,2.0,3.0,6.0,5.0,7.0,1.0,4.0,5.0,5.0,1.0,6.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0
171,78,2001,1,,15.0,0.0,,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,7.0,6.0,7.0,3.0,6.0,4.0,5.0,1.0,5.0,2.0,6.0,7.0,7.0,1.0,4.0,6.0,7.0,1.0,4.0,4.0,6.0,1.0,5.0,7.0,7.0,1.0
172,126,2001,1,,35.0,1.0,5,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0,6.0,4.0,5.0,6.0,4.0,6.0,4.0,7.0,3.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,5.0,6.0,3.0
173,192,1998,1,,17.0,2.0,13,2.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,1.0,6.0,3.0,7.0,4.0,4.0,1.0,3.0,6.0,7.0,1.0,3.0,4.0,1.0,1.0,6.0,7.0,7.0,1.0
174,36,2002,1,,17.0,0.0,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
175,126,1996,2,,24.0,,11,2.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,6.0,4.0,7.0,5.0,6.0,4.0,7.0,3.0,7.0,2.0,6.0,7.0,7.0,1.0,6.0,7.0,7.0,4.0,6.0,6.0,4.0,4.0,7.0,7.0,6.0,2.0
176,126,1980,2,,14.0,16.0,11,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,4.0,7.0,5.0,6.0,7.0,4.0,4.0,6.0,3.0,6.0,1.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0
177,126,2001,2,,24.0,1.7,"11,14",2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,1.0,6.0,1.0,7.0,7.0,7.0,1.0,6.0,3.0,6.0,6.0,7.0,1.0,5.0,6.0,6.0,1.0,5.0,4.0,4.0,1.0,5.0,6.0,6.0,1.0
178,9,1977,2,,23.0,,"10,16,18,19",2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,6.0,2.0,6.0,4.0,5.0,3.0,6.0,2.0,6.0,6.0,7.0,1.0,4.0,6.0,7.0,1.0,5.0,1.0,7.0,1.0,4.0,7.0,7.0,1.0
179,185,2001,1,,17.0,5.0,7,4.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,7.0,1.0,5.0,5.0,6.0,2.0,7.0,3.0,1.0,2.0,7.0,6.0,1.0,2.0,7.0,6.0,1.0,1.0,7.0,6.0,1.0,1.0,7.0,5.0
180,78,2000,1,,15.0,1.0,14,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,7.0,6.0,4.0,1.0,6.0,2.0,6.0,7.0,5.0,1.0,3.0,7.0,6.0,1.0,5.0,7.0,1.0,1.0,6.0,6.0,7.0,1.0
181,126,1976,2,,24.0,,"10,11",4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,6.0,3.0,6.0,4.0,6.0,1.0,6.0,3.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,2.0,6.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0
182,164,2000,2,,24.0,2.0,11,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,7.0,6.0,7.0,5.0,6.0,2.0,3.0,5.0,6.0,7.0,4.0,1.0,5.0,6.0,6.0,2.0,5.0,7.0,2.0,2.0,6.0,6.0,6.0,2.0
183,192,1997,2,,24.0,4.0,"11,19",2.0,4.0,5.0,,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,1.0,7.0,4.0,5.0,1.0,3.0,2.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0
184,172,2001,1,,24.0,0.0,,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,6.0,1.0,6.0,4.0,7.0,1.0,5.0,3.0,7.0,5.0,4.0,2.0,7.0,7.0,5.0,2.0,6.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0
185,185,2001,1,,8.0,1.0,19,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0
186,80,1995,2,,15.0,6.0,13,3.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,7.0,6.0,7.0,3.0,7.0,3.0,6.0,3.0,4.0,1.0,6.0,7.0,5.0,1.0,6.0,7.0,5.0,2.0,4.0,7.0,1.0,1.0,7.0,7.0,4.0,1.0
187,185,1997,2,,14.0,10.0,"14,16,18",2.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,5.0,2.0,6.0,1.0,6.0,5.0,6.0,2.0,7.0,3.0,6.0,6.0,6.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,2.0,2.0,5.0,6.0,3.0,1.0
188,53,1986,1,,15.0,10.0,6,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,7.0,2.0,4.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,2.0,4.0,6.0,7.0,3.0,4.0,5.0,4.0,2.0,5.0,6.0,7.0,4.0
189,164,1987,2,,15.0,7.0,"13,14",2.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,7.0,1.0,6.0,1.0,7.0,2.0,1.0,1.0,5.0,1.0,7.0,6.0,7.0,4.0,6.0,6.0,7.0,6.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,2.0
190,3,1996,1,,,1.0,6,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,2.0,5.0,6.0,6.0,3.0,7.0,3.0,7.0,7.0,5.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0
191,164,1996,2,,24.0,2.0,11,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,6.0,3.0,5.0,3.0,6.0,2.0,6.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,2.0,2.0,6.0,4.0,1.0,3.0,4.0,6.0,4.0,3.0
192,80,1988,1,,15.0,7.0,"4,6,12",3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,,7.0,6.0,7.0,,7.0,1.0,7.0,,6.0,6.0,7.0,6.0,7.0,7.0,6.0,,,6.0,,,6.0,7.0,6.0,
193,164,1996,2,,14.0,1.0,3,2.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,7.0,5.0,7.0,5.0,2.0,5.0,1.0,3.0,6.0,7.0,1.0,4.0,4.0,7.0,1.0,4.0,1.0,4.0,1.0,4.0,6.0,2.0,1.0
194,78,1996,1,,24.0,,6,2.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,7.0,6.0,5.0,2.0,6.0,2.0,6.0,6.0,1.0,1.0,6.0,7.0,7.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0
195,78,1997,1,,15.0,2.7,"12,19",2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,6.0,2.0,7.0,2.0,7.0,3.0,4.0,1.0,6.0,1.0,7.0,7.0,4.0,1.0,5.0,6.0,6.0,1.0,7.0,7.0,1.0,1.0,5.0,7.0,7.0,1.0
196,126,1991,1,,17.0,5.0,"3,7,9,19",2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,1.0,6.0,1.0,7.0,5.0,6.0,1.0,7.0,2.0,7.0,7.0,3.0,2.0,6.0,7.0,6.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,6.0,1.0
197,126,1997,2,,20.0,2.0,14,2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,7.0,,7.0,1.0,7.0,5.0,6.0,1.0,4.0,2.0,7.0,7.0,6.0,1.0,7.0,7.0,6.0,1.0,7.0,4.0,4.0,1.0,7.0,7.0,1.0,1.0
198,185,2000,2,,8.0,2.5,"7,9",2.0,2.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,5.0,7.0,2.0,6.0,3.0,5.0,7.0,4.0,4.0,4.0,5.0,7.0,5.0,2.0,1.0,6.0,4.0,1.0,4.0,7.0,5.0
199,104,2000,2,,24.0,,11,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0
200,185,2001,2,,20.0,,11,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,5.0,4.0,5.0,6.0,5.0,1.0,6.0,3.0,4.0,6.0,7.0,1.0,5.0,5.0,6.0,1.0,5.0,6.0,5.0,3.0,3.0,4.0,3.0,3.0
201,36,2002,1,,17.0,0.0,,1.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,7.0,,,,,,,,,,,,,,,
202,80,1992,2,,15.0,6.0,13,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,7.0,2.0,5.0,1.0,7.0,2.0,6.0,4.0,2.0,2.0,7.0,7.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,7.0,2.0,2.0
203,130,1994,1,,15.0,4.0,19,2.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,7.0,1.0,7.0,2.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,3.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0
204,78,1999,1,,15.0,1.0,"1,16",2.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,4.0,5.0,3.0,6.0,5.0,3.0,3.0,6.0,2.0,6.0,7.0,6.0,2.0,6.0,7.0,6.0,2.0,6.0,4.0,1.0,1.0,7.0,7.0,7.0,2.0
205,118,2001,2,,24.0,2.0,"11,14",3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,6.0,5.0,6.0,6.0,3.0,5.0,5.0,2.0,4.0,5.0,4.0,7.0,3.0,3.0,4.0,6.0,3.0,3.0,4.0,6.0,2.0,4.0,3.0,6.0,3.0
206,179,1999,2,,15.0,1.0,"6,7",3.0,5.0,5.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,7.0,4.0,6.0,3.0,6.0,1.0,5.0,3.0,6.0,6.0,6.0,1.0,6.0,6.0,5.0,3.0,5.0,5.0,4.0,1.0,6.0,6.0,4.0,2.0
207,126,1994,1,,20.0,3.0,10,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,7.0,3.0,4.0,1.0,7.0,1.0,6.0,2.0,7.0,1.0,5.0,6.0,7.0,1.0,1.0,6.0,7.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,7.0,1.0
208,78,1992,1,,25.0,10.0,"11,17",4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,4.0,2.0,7.0,1.0,6.0,1.0,7.0,1.0,6.0,1.0,7.0,1.0,6.0,7.0,7.0,6.0,7.0,5.0,1.0,1.0,6.0,7.0,5.0,1.0
209,14,1996,2,,24.0,4.0,11,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,1.0,7.0,3.0,7.0,1.0,7.0,1.0,6.0,2.0,6.0,6.0,2.0,2.0,2.0,6.0,2.0,2.0,4.0,6.0,1.0,2.0,5.0,7.0,7.0,1.0
210,164,1996,2,,17.0,1.0,13,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,6.0,1.0,6.0,4.0,5.0,2.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
211,118,1998,2,,17.0,1.0,19,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,1.0,6.0,1.0,6.0,5.0,7.0,2.0,6.0,2.0,7.0,6.0,3.0,2.0,6.0,7.0,7.0,1.0,6.0,7.0,1.0,1.0,6.0,7.0,6.0,1.0
212,187,2001,1,,17.0,2.0,"10,11,17,19",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,6.0,5.0,7.0,1.0,7.0,6.0,6.0,2.0,7.0,1.0,6.0,6.0,1.0,1.0,4.0,6.0,1.0,1.0,4.0,7.0,1.0,1.0,5.0,7.0,5.0,1.0
